HI,0.0,1.9,0.0,0.3,0.8
SD,1.8,1.8,1.8,1.8,1.8
WY,1.5,1.5,1.5,1.5,1.5
AK,0.0,0.0,2.1,0.0,0.4
ME,0.0,0.8,0.4,0.4,0.5
MT,0.0,0.8,3.3,2.3,2.2
VT,0.0,0.4,0.6,2.4,1.7
NH,0.0,1.1,0.6,1.1,0.7
WV,0.0,1.9,1.7,1.0,1.3
KS,5.0,3.6,2.3,2.3,3.5
OK,7.1,5.5,3.8,1.6,5.0
WI,0.0,3.9,2.4,3.3,3.8
NM,4.0,1.7,1.78,2.4,2.4
WA,4.2,2.2,1.1,2.5,2.5
IN,0.0,2.6,3.0,2.8,4.0
OH,4.9,2.0,2.1,3.1,2.8
OR,5.2,1.7,2.1,2.5,2.6
CO,4.5,3.6,1.9,2.3,3.3
KY,4.1,4.8,2.5,1.5,3.6
MO,5.1,4.2,2.3,1.2,3.5
NC,10.1,8.4,4.4,0.4,6.8
RI,0.0,1.7,4.1,1.6,2.7
UT,0.0,7.3,6.2,1.2,5.1
CT,4.1,2.0,4.3,3.1,3.1
MI,7.3,3.3,1.9,1.9,3.7
MN,10.6,8.7,6.4,4.0,8.0
DC,7.5,6.0,8.7,4.1,6.5
IL,5.7,3.5,6.9,2.6,6.3
AR,8.6,6.9,5.2,2.6,6.3
VA,0.0,4.9,1.6,1.1,3.2
MA,5.3,5.2,1.4,0.6,3.7
FL,13.0,10.0,6.5,3.0,8.5
ID,0.0,4.1,7.8,1.6,5.2
NV,6.3,9.8,9.2,2.5,7.8
CA,8.1,4.7,3.6,2.1,4.9
DE,0.0,8.6,2.9,3.2,7.5
AL,16.1,8.1,4.6,4.9,8.7
TX,12.7,8.5,5.3,1.8,8.2
TN,10.8,6.8,5.8,1.7,6.7
GA,18.7,15.1,5.4,6.3,13.0
MS,0.0,11.9,7.6,6.2,7.9
ND,1.2,1.2,1.2,1.2,1.2
NE,0.0,5.1,7.5,6.0,6.7
SC,9.6,10.4,3.9,3.9,7.8
AZ,0.0,9.6,4.4,0.1,5.4
IA,0.0,11.3,9.9,3.3,7.6
LA,15.1,15.5,8.4,4.8,12.5
MD,11.5,13.5,6.4,3.6,10.2
PA,0.0,14.8,8.6,2.5,11.1
NJ,18.1,18.9,12.0,4.8,15.1
NY,21.4,17.2,16.5,11.2,17.0
